hits,label
42370,20200901
40673,20200902
45286,20200903
46666,20200904
37296,20200905
29164,20200906
38875,20200907
44126,20200908
44605,20200909
42134,20200910
39423,20200911
31326,20200912
30244,20200913
40545,20200914
42406,20200915
42398,20200916
47709,20200917
49260,20200918
33274,20200919
29469,20200920
50724,20200921
47640,20200922
43233,20200923
48053,20200924
50853,20200925
35055,20200926
30590,20200927
44782,20200928
42300,20200929
27227,20200930
20388,20201001
22192,20201002
25404,20201003
24602,20201004
38677,20201005
40672,20201006
42523,20201007
39914,20201008
27968,20201009
30354,20201010
27234,20201011
39896,20201012
38762,20201013
42222,20201014
37928,20201015
38846,20201016
31486,20201017
28729,20201018
39916,20201019
40657,20201020
39377,20201021
38930,20201022
42233,20201023
31351,20201024
30566,20201025
41383,20201026
39092,20201027
38467,20201028
38478,20201029
37415,20201030
19474,20201031
