hits,label
23858,20201101
38120,20201102
36232,20201103
35921,20201104
36428,20201105
39909,20201106
28639,20201107
25292,20201108
35428,20201109
35945,20201110
35876,20201111
38650,20201112
36921,20201113
28951,20201114
26760,20201115
39689,20201116
40375,20201117
39725,20201118
39670,20201119
59862,20201120
52850,20201121
54001,20201122
37362,20201123
39631,20201124
43209,20201125
44938,20201126
39764,20201127
27781,20201128
25403,20201129
35478,20201130
37814,20201201
37895,20201202
36696,20201203
35964,20201204
27093,20201205
25178,20201206
35594,20201207
35304,20201208
34419,20201209
35914,20201210
35971,20201211
26760,20201212
15316,20201213
