date,df,keyword
20191231,2896,시흥_은계지구
20191231,3411,불법_주정차
20191231,1083,은계지구_S4
20191231,728,브랜드_가치
20191231,728,책임_시공
20200107,3044,시흥_은계지구
20200107,3698,불법_주정차
20200107,1130,은계지구_S4
20200107,760,브랜드_가치
20200107,760,책임_시공
20200114,2975,시흥_은계지구
20200114,3987,불법_주정차
20200114,1105,은계지구_S4
20200114,750,브랜드_가치
20200114,745,S4_블록
20200121,2953,시흥_은계지구
20200121,3754,불법_주정차
20200121,1360,2020년_1월
20200121,1096,은계지구_S4
20200121,777,생활_편의
20200131,5072,불법_주정차
20200131,462,장애인_전용구역
20200131,399,전용주차구역_불법주차
20200131,384,불법_주차
20200131,380,경기도_수원시
20200207,4394,불법_주정차
20200207,2246,시흥_은계지구
20200207,835,은계지구_S4
20200207,585,장애인_전용구역
20200207,569,브랜드_가치
20200214,4730,불법_주정차
20200214,2137,시흥_은계지구
20200214,797,은계지구_S4
20200214,588,장애인_전용구역
20200214,541,브랜드_가치
20200221,3786,불법_주정차
20200221,1833,시흥_은계지구
20200221,686,은계지구_S4
20200221,557,장애인_전용구역
20200221,462,브랜드_가치
20200229,2907,불법_주정차
20200229,1595,시흥_은계지구
20200229,671,지리적_여건
20200229,669,경제적_동일성
20200229,669,국회의원_선거구획정위원회
20200307,3510,불법_주정차
20200307,756,1급_발암물질
20200307,599,위례_신도시
20200307,599,표레미콘_위치
20200307,583,레미콘_복합단지
20200314,3437,불법_주정차
20200314,459,장애인_전용구역
20200314,437,송파_폐자원
20200314,437,파지_압축장
20200314,437,한국농어촌공사_소유
20200321,2529,차량_이동
20200321,2528,출입구_위치
20200321,2521,설계_변경
20200321,2521,야외_주차장
20200321,2519,아파트_주차장
20200331,1637,차량_이동
20200331,1630,출입구_위치
20200331,1628,설계_변경
20200331,1620,위급상황_발생
20200331,1609,A3블록_아파트
20200407,1345,설계_변경
20200407,1344,차량_이동
20200407,1337,출입구_위치
20200407,1333,A3블록_아파트
20200407,1333,위급상황_발생
20200414,1862,차량_이동
20200414,1843,설계_변경
20200414,1842,A3블록_아파트
20200414,1842,위급상황_발생
20200414,1842,출입구_위치
20200421,1136,송도_주민
20200421,1094,아파트_내부
20200421,1087,추진_방안
20200421,1086,강남_집값
20200421,1086,관할구역_변경
20200430,682,S4_블록
20200430,680,생활_편의
20200430,422,법적_조치
20200430,407,위례_통합
20200430,366,에너지_절감
20200507,593,S4_블록
20200507,590,생활_편의
20200507,416,위례_주민
20200507,410,해결_방법
20200507,406,예산_결산
20200514,1171,위례_주민
20200514,619,위례_통합
20200514,617,선진_행정
20200514,617,해결책_제시
20200514,578,S4_블록
20200521,674,생활_편의
20200521,669,S4_블록
20200521,456,용인_한얼중학교
20200521,342,브랜드_가치
20200521,342,정부_정책
20200531,659,역사_신설
20200531,593,위례_주민
20200531,592,위례_지역
20200531,592,행정적_경계
20200531,591,위례_통합
20200607,830,용인_한얼중학교
20200607,828,입지_선정
20200607,391,조기_착공
20200607,340,중학교_신설
20200607,339,불법_주차
20200614,827,용인_한얼중학교
20200614,512,인천_검단
20200614,435,광역교통망_확보
20200614,435,교통_분산
20200614,435,활성화_유도
20200621,671,입지_선정
20200621,577,다산_자연앤푸르지오
20200621,576,대형_쇼핑몰
20200621,576,주차_운영
20200621,562,자연앤_아파트
20200630,5616,불법_주정차
