hits,label
19792,20200101
29382,20200102
28622,20200103
24576,20200104
23421,20200105
28402,20200106
27363,20200107
31140,20200108
29981,20200109
30678,20200110
25211,20200111
23632,20200112
29886,20200113
30468,20200114
30847,20200115
30715,20200116
31305,20200117
25931,20200118
24668,20200119
30193,20200120
31332,20200121
31787,20200122
31568,20200123
20140,20200124
16314,20200125
17377,20200126
19961,20200127
29732,20200128
30776,20200129
31144,20200130
25024,20200131
15138,20200201
13010,20200202
19672,20200203
23012,20200204
26400,20200205
28651,20200206
28435,20200207
22370,20200208
20395,20200209
28509,20200210
30422,20200211
27584,20200212
30868,20200213
31251,20200214
24395,20200215
19615,20200216
26512,20200217
30442,20200218
30451,20200219
32293,20200220
29517,20200221
21682,20200222
22296,20200223
30747,20200224
28524,20200225
31932,20200226
30663,20200227
28409,20200228
15239,20200229
